"global_step","22231421_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step","22231421_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MIN","22231421_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MAX","22231421_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last","22231421_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MIN","22231421_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MAX","22231420_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step","22231420_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MIN","22231420_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MAX","22231420_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last","22231420_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MIN","22231420_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MAX","22231419_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step","22231419_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MIN","22231419_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MAX","22231419_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last","22231419_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MIN","22231419_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MAX","22231418_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step","22231418_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MIN","22231418_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MAX","22231418_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last","22231418_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MIN","22231418_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MAX","22231417_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step","22231417_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MIN","22231417_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MAX","22231417_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last","22231417_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MIN","22231417_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MAX","22231416_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step","22231416_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MIN","22231416_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MAX","22231416_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last","22231416_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MIN","22231416_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MAX","22231415_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step","22231415_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MIN","22231415_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MAX","22231415_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last","22231415_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MIN","22231415_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MAX","22231414_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step","22231414_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MIN","22231414_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MAX","22231414_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last","22231414_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MIN","22231414_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MAX","22231413_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step","22231413_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MIN","22231413_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MAX","22231413_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last","22231413_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MIN","22231413_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MAX","22231412_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step","22231412_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MIN","22231412_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MAX","22231412_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last","22231412_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MIN","22231412_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MAX"
"11264000","17","17","17","0.9794921875","0.9794921875","0.9794921875","17","17","17","0.9912109375","0.9912109375","0.9912109375","17","17","17","0.9873046875","0.9873046875","0.9873046875","17","17","17","0.986328125","0.986328125","0.986328125","17","17","17","0.98046875","0.98046875","0.98046875","17","17","17","0.9833984375","0.9833984375","0.9833984375","17","17","17","0.984375","0.984375","0.984375","17","17","17","0.986328125","0.986328125","0.986328125","17","17","17","0.984375","0.984375","0.984375","17","17","17","0.98046875","0.98046875","0.98046875"
"12288000","18","18","18","0.978515625","0.978515625","0.978515625","18","18","18","0.9912109375","0.9912109375","0.9912109375","18","18","18","0.9873046875","0.9873046875","0.9873046875","18","18","18","0.98828125","0.98828125","0.98828125","18","18","18","0.978515625","0.978515625","0.978515625","18","18","18","0.9873046875","0.9873046875","0.9873046875","18","18","18","0.9814453125","0.9814453125","0.9814453125","18","18","18","0.984375","0.984375","0.984375","18","18","18","0.9814453125","0.9814453125","0.9814453125","18","18","18","0.986328125","0.986328125","0.986328125"
"14336000","21","21","21","0.9833984375","0.9833984375","0.9833984375","21","21","21","0.9794921875","0.9794921875","0.9794921875","21","21","21","0.982421875","0.982421875","0.982421875","21","21","21","0.9873046875","0.9873046875","0.9873046875","21","21","21","0.982421875","0.982421875","0.982421875","21","21","21","0.984375","0.984375","0.984375","21","21","21","0.982421875","0.982421875","0.982421875","21","21","21","0.978515625","0.978515625","0.978515625","21","21","21","0.986328125","0.986328125","0.986328125","21","21","21","0.9833984375","0.9833984375","0.9833984375"
"15360000","22","22","22","0.9765625","0.9765625","0.9765625","22","22","22","0.9853515625","0.9853515625","0.9853515625","22","22","22","0.982421875","0.982421875","0.982421875","22","22","22","0.9853515625","0.9853515625","0.9853515625","22","22","22","0.9765625","0.9765625","0.9765625","22","22","22","0.990234375","0.990234375","0.990234375","22","22","22","0.9755859375","0.9755859375","0.9755859375","22","22","22","0.9736328125","0.9736328125","0.9736328125","22","22","22","0.974609375","0.974609375","0.974609375","22","22","22","0.9853515625","0.9853515625","0.9853515625"
"16384000","24","24","24","0.9765625","0.9765625","0.9765625","24","24","24","0.9833984375","0.9833984375","0.9833984375","24","24","24","0.98046875","0.98046875","0.98046875","24","24","24","0.9853515625","0.9853515625","0.9853515625","24","24","24","0.9609375","0.9609375","0.9609375","24","24","24","0.986328125","0.986328125","0.986328125","24","24","24","0.984375","0.984375","0.984375","24","24","24","0.9775390625","0.9775390625","0.9775390625","24","24","24","0.9765625","0.9765625","0.9765625","24","24","24","0.9755859375","0.9755859375","0.9755859375"
"17408000","25","25","25","0.9775390625","0.9775390625","0.9775390625","25","25","25","0.9873046875","0.9873046875","0.9873046875","25","25","25","0.9765625","0.9765625","0.9765625","25","25","25","0.970703125","0.970703125","0.970703125","25","25","25","0.958984375","0.958984375","0.958984375","25","25","25","0.9765625","0.9765625","0.9765625","25","25","25","0.9765625","0.9765625","0.9765625","25","25","25","0.9912109375","0.9912109375","0.9912109375","25","25","25","0.966796875","0.966796875","0.966796875","25","25","25","0.9814453125","0.9814453125","0.9814453125"
"19456000","28","28","28","0.9677734375","0.9677734375","0.9677734375","28","28","28","0.9755859375","0.9755859375","0.9755859375","28","28","28","0.9794921875","0.9794921875","0.9794921875","28","28","28","0.9716796875","0.9716796875","0.9716796875","28","28","28","0.955078125","0.955078125","0.955078125","28","28","28","0.9873046875","0.9873046875","0.9873046875","28","28","28","0.984375","0.984375","0.984375","28","28","28","0.978515625","0.978515625","0.978515625","28","28","28","0.9736328125","0.9736328125","0.9736328125","28","28","28","0.982421875","0.982421875","0.982421875"
"20480000","29","29","29","0.9521484375","0.9521484375","0.9521484375","29","29","29","0.9716796875","0.9716796875","0.9716796875","29","29","29","0.9775390625","0.9775390625","0.9775390625","29","29","29","0.970703125","0.970703125","0.970703125","29","29","29","0.94140625","0.94140625","0.94140625","29","29","29","0.982421875","0.982421875","0.982421875","29","29","29","0.970703125","0.970703125","0.970703125","29","29","29","0.9775390625","0.9775390625","0.9775390625","29","29","29","0.96875","0.96875","0.96875","29","29","29","0.9794921875","0.9794921875","0.9794921875"
"21504000","31","31","31","0.95703125","0.95703125","0.95703125","31","31","31","0.9775390625","0.9775390625","0.9775390625","31","31","31","0.974609375","0.974609375","0.974609375","31","31","31","0.962890625","0.962890625","0.962890625","31","31","31","0.931640625","0.931640625","0.931640625","31","31","31","0.986328125","0.986328125","0.986328125","31","31","31","0.9736328125","0.9736328125","0.9736328125","31","31","31","0.9833984375","0.9833984375","0.9833984375","31","31","31","0.978515625","0.978515625","0.978515625","31","31","31","0.9755859375","0.9755859375","0.9755859375"
"22528000","32","32","32","0.958984375","0.958984375","0.958984375","32","32","32","0.9716796875","0.9716796875","0.9716796875","32","32","32","0.9736328125","0.9736328125","0.9736328125","32","32","32","0.9482421875","0.9482421875","0.9482421875","32","32","32","0.9130859375","0.9130859375","0.9130859375","32","32","32","0.9775390625","0.9775390625","0.9775390625","32","32","32","0.966796875","0.966796875","0.966796875","32","32","32","0.9775390625","0.9775390625","0.9775390625","32","32","32","0.98046875","0.98046875","0.98046875","32","32","32","0.9765625","0.9765625","0.9765625"
"24576000","35","35","35","0.91796875","0.91796875","0.91796875","35","35","35","0.9599609375","0.9599609375","0.9599609375","35","35","35","0.966796875","0.966796875","0.966796875","35","35","35","0.9326171875","0.9326171875","0.9326171875","35","35","35","0.8564453125","0.8564453125","0.8564453125","35","35","35","0.9736328125","0.9736328125","0.9736328125","35","35","35","0.97265625","0.97265625","0.97265625","35","35","35","0.970703125","0.970703125","0.970703125","35","35","35","0.966796875","0.966796875","0.966796875","35","35","35","0.970703125","0.970703125","0.970703125"
"25600000","36","36","36","0.9072265625","0.9072265625","0.9072265625","36","36","36","0.9736328125","0.9736328125","0.9736328125","36","36","36","0.97265625","0.97265625","0.97265625","36","36","36","0.9404296875","0.9404296875","0.9404296875","36","36","36","0.802734375","0.802734375","0.802734375","36","36","36","0.9765625","0.9765625","0.9765625","36","36","36","0.9599609375","0.9599609375","0.9599609375","36","36","36","0.966796875","0.966796875","0.966796875","36","36","36","0.962890625","0.962890625","0.962890625","36","36","36","0.9482421875","0.9482421875","0.9482421875"
"26624000","38","38","38","0.9130859375","0.9130859375","0.9130859375","38","38","38","0.958984375","0.958984375","0.958984375","38","38","38","0.9677734375","0.9677734375","0.9677734375","38","38","38","0.916015625","0.916015625","0.916015625","38","38","38","0.8193359375","0.8193359375","0.8193359375","38","38","38","0.984375","0.984375","0.984375","38","38","38","0.96875","0.96875","0.96875","38","38","38","0.9697265625","0.9697265625","0.9697265625","38","38","38","0.953125","0.953125","0.953125","38","38","38","0.966796875","0.966796875","0.966796875"
"27648000","39","39","39","0.8896484375","0.8896484375","0.8896484375","39","39","39","0.9521484375","0.9521484375","0.9521484375","39","39","39","0.9560546875","0.9560546875","0.9560546875","39","39","39","0.916015625","0.916015625","0.916015625","39","39","39","0.7255859375","0.7255859375","0.7255859375","39","39","39","0.974609375","0.974609375","0.974609375","39","39","39","0.95703125","0.95703125","0.95703125","39","39","39","0.951171875","0.951171875","0.951171875","39","39","39","0.962890625","0.962890625","0.962890625","39","39","39","0.9580078125","0.9580078125","0.9580078125"
"28672000","40","40","40","0.8427734375","0.8427734375","0.8427734375","40","40","40","0.9501953125","0.9501953125","0.9501953125","40","40","40","0.9521484375","0.9521484375","0.9521484375","40","40","40","0.8837890625","0.8837890625","0.8837890625","40","40","40","0.666015625","0.666015625","0.666015625","40","40","40","0.9755859375","0.9755859375","0.9755859375","40","40","40","0.953125","0.953125","0.953125","40","40","40","0.970703125","0.970703125","0.970703125","40","40","40","0.955078125","0.955078125","0.955078125","40","40","40","0.955078125","0.955078125","0.955078125"
"29696000","42","42","42","0.8076171875","0.8076171875","0.8076171875","42","42","42","0.91796875","0.91796875","0.91796875","42","42","42","0.9423828125","0.9423828125","0.9423828125","42","42","42","0.83984375","0.83984375","0.83984375","42","42","42","0.6748046875","0.6748046875","0.6748046875","42","42","42","0.984375","0.984375","0.984375","42","42","42","0.923828125","0.923828125","0.923828125","42","42","42","0.966796875","0.966796875","0.966796875","42","42","42","0.93359375","0.93359375","0.93359375","42","42","42","0.9365234375","0.9365234375","0.9365234375"
"30720000","43","43","43","0.7626953125","0.7626953125","0.7626953125","43","43","43","0.9296875","0.9296875","0.9296875","43","43","43","0.9306640625","0.9306640625","0.9306640625","43","43","43","0.8564453125","0.8564453125","0.8564453125","43","43","43","0.65625","0.65625","0.65625","43","43","43","0.9697265625","0.9697265625","0.9697265625","43","43","43","0.953125","0.953125","0.953125","43","43","43","0.9521484375","0.9521484375","0.9521484375","43","43","43","0.931640625","0.931640625","0.931640625","43","43","43","0.9296875","0.9296875","0.9296875"
"31744000","45","45","45","0.7060546875","0.7060546875","0.7060546875","45","45","45","0.9384765625","0.9384765625","0.9384765625","45","45","45","0.9287109375","0.9287109375","0.9287109375","45","45","45","0.8134765625","0.8134765625","0.8134765625","45","45","45","0.6328125","0.6328125","0.6328125","45","45","45","0.962890625","0.962890625","0.962890625","45","45","45","0.935546875","0.935546875","0.935546875","45","45","45","0.9482421875","0.9482421875","0.9482421875","45","45","45","0.92578125","0.92578125","0.92578125","45","45","45","0.923828125","0.923828125","0.923828125"
"32768000","46","46","46","0.6396484375","0.6396484375","0.6396484375","46","46","46","0.90625","0.90625","0.90625","46","46","46","0.9267578125","0.9267578125","0.9267578125","46","46","46","0.8115234375","0.8115234375","0.8115234375","46","46","46","0.5576171875","0.5576171875","0.5576171875","46","46","46","0.95703125","0.95703125","0.95703125","46","46","46","0.919921875","0.919921875","0.919921875","46","46","46","0.927734375","0.927734375","0.927734375","46","46","46","0.9111328125","0.9111328125","0.9111328125","46","46","46","0.9189453125","0.9189453125","0.9189453125"
"33792000","47","47","47","0.654296875","0.654296875","0.654296875","47","47","47","0.8876953125","0.8876953125","0.8876953125","47","47","47","0.8984375","0.8984375","0.8984375","47","47","47","0.697265625","0.697265625","0.697265625","47","47","47","0.5234375","0.5234375","0.5234375","47","47","47","0.9423828125","0.9423828125","0.9423828125","47","47","47","0.908203125","0.908203125","0.908203125","47","47","47","0.9443359375","0.9443359375","0.9443359375","47","47","47","0.85546875","0.85546875","0.85546875","47","47","47","0.9111328125","0.9111328125","0.9111328125"
"34816000","49","49","49","0.5654296875","0.5654296875","0.5654296875","49","49","49","0.8671875","0.8671875","0.8671875","49","49","49","0.833984375","0.833984375","0.833984375","49","49","49","0.646484375","0.646484375","0.646484375","49","49","49","0.4267578125","0.4267578125","0.4267578125","49","49","49","0.943359375","0.943359375","0.943359375","49","49","49","0.9169921875","0.9169921875","0.9169921875","49","49","49","0.9013671875","0.9013671875","0.9013671875","49","49","49","0.8515625","0.8515625","0.8515625","49","49","49","0.8916015625","0.8916015625","0.8916015625"
"35840000","50","50","50","0.564453125","0.564453125","0.564453125","50","50","50","0.8662109375","0.8662109375","0.8662109375","50","50","50","0.87109375","0.87109375","0.87109375","50","50","50","0.60546875","0.60546875","0.60546875","50","50","50","0.3720703125","0.3720703125","0.3720703125","50","50","50","0.9345703125","0.9345703125","0.9345703125","50","50","50","0.857421875","0.857421875","0.857421875","50","50","50","0.8916015625","0.8916015625","0.8916015625","50","50","50","0.841796875","0.841796875","0.841796875","50","50","50","0.8759765625","0.8759765625","0.8759765625"
