"global_step","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MIN","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MAX","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MIN","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MAX","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MIN","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MAX","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MIN","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MAX","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MIN","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MAX","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MIN","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MAX","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MIN","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MAX","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MIN","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MAX","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MIN","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MAX","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MIN","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MAX","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MIN","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MAX","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MIN","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MAX","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MIN","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MAX","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MIN","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MAX","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MIN","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MAX","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MIN","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MAX","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MIN","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MAX","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MIN","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MAX","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MIN","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MAX","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MIN","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MAX"
"22528000","17","17","17","0.97705078125","0.97705078125","0.97705078125","17","17","17","0.984375","0.984375","0.984375","17","17","17","0.98193359375","0.98193359375","0.98193359375","17","17","17","0.9814453125","0.9814453125","0.9814453125","17","17","17","0.9853515625","0.9853515625","0.9853515625","17","17","17","0.98974609375","0.98974609375","0.98974609375","17","17","17","0.9814453125","0.9814453125","0.9814453125","17","17","17","0.97998046875","0.97998046875","0.97998046875","17","17","17","0.98876953125","0.98876953125","0.98876953125","17","17","17","0.98046875","0.98046875","0.98046875"
"24576000","18","18","18","0.98486328125","0.98486328125","0.98486328125","18","18","18","0.9814453125","0.9814453125","0.9814453125","18","18","18","0.98193359375","0.98193359375","0.98193359375","18","18","18","0.9765625","0.9765625","0.9765625","18","18","18","0.98046875","0.98046875","0.98046875","18","18","18","0.984375","0.984375","0.984375","18","18","18","0.98193359375","0.98193359375","0.98193359375","18","18","18","0.98388671875","0.98388671875","0.98388671875","18","18","18","0.98681640625","0.98681640625","0.98681640625","18","18","18","0.9765625","0.9765625","0.9765625"
"28672000","21","21","21","0.9736328125","0.9736328125","0.9736328125","21","21","21","0.9775390625","0.9775390625","0.9775390625","21","21","21","0.97265625","0.97265625","0.97265625","21","21","21","0.9765625","0.9765625","0.9765625","21","21","21","0.97607421875","0.97607421875","0.97607421875","21","21","21","0.978515625","0.978515625","0.978515625","21","21","21","0.97998046875","0.97998046875","0.97998046875","21","21","21","0.97900390625","0.97900390625","0.97900390625","21","21","21","0.98095703125","0.98095703125","0.98095703125","21","21","21","0.9677734375","0.9677734375","0.9677734375"
"30720000","22","22","22","0.9755859375","0.9755859375","0.9755859375","22","22","22","0.97607421875","0.97607421875","0.97607421875","22","22","22","0.97802734375","0.97802734375","0.97802734375","22","22","22","0.9833984375","0.9833984375","0.9833984375","22","22","22","0.97265625","0.97265625","0.97265625","22","22","22","0.97607421875","0.97607421875","0.97607421875","22","22","22","0.9716796875","0.9716796875","0.9716796875","22","22","22","0.96435546875","0.96435546875","0.96435546875","22","22","22","0.9853515625","0.9853515625","0.9853515625","22","22","22","0.9716796875","0.9716796875","0.9716796875"
"32768000","24","24","24","0.970703125","0.970703125","0.970703125","24","24","24","0.9765625","0.9765625","0.9765625","24","24","24","0.96484375","0.96484375","0.96484375","24","24","24","0.96923828125","0.96923828125","0.96923828125","24","24","24","0.97412109375","0.97412109375","0.97412109375","24","24","24","0.97509765625","0.97509765625","0.97509765625","24","24","24","0.9677734375","0.9677734375","0.9677734375","24","24","24","0.97021484375","0.97021484375","0.97021484375","24","24","24","0.98486328125","0.98486328125","0.98486328125","24","24","24","0.97021484375","0.97021484375","0.97021484375"
"34816000","25","25","25","0.966796875","0.966796875","0.966796875","25","25","25","0.97119140625","0.97119140625","0.97119140625","25","25","25","0.96923828125","0.96923828125","0.96923828125","25","25","25","0.9755859375","0.9755859375","0.9755859375","25","25","25","0.97900390625","0.97900390625","0.97900390625","25","25","25","0.9775390625","0.9775390625","0.9775390625","25","25","25","0.95751953125","0.95751953125","0.95751953125","25","25","25","0.94189453125","0.94189453125","0.94189453125","25","25","25","0.98193359375","0.98193359375","0.98193359375","25","25","25","0.96728515625","0.96728515625","0.96728515625"
"38912000","28","28","28","0.9521484375","0.9521484375","0.9521484375","28","28","28","0.95166015625","0.95166015625","0.95166015625","28","28","28","0.95751953125","0.95751953125","0.95751953125","28","28","28","0.96923828125","0.96923828125","0.96923828125","28","28","28","0.96630859375","0.96630859375","0.96630859375","28","28","28","0.9658203125","0.9658203125","0.9658203125","28","28","28","0.9501953125","0.9501953125","0.9501953125","28","28","28","0.9384765625","0.9384765625","0.9384765625","28","28","28","0.97607421875","0.97607421875","0.97607421875","28","28","28","0.9365234375","0.9365234375","0.9365234375"
"40960000","29","29","29","0.92578125","0.92578125","0.92578125","29","29","29","0.9365234375","0.9365234375","0.9365234375","29","29","29","0.947265625","0.947265625","0.947265625","29","29","29","0.96142578125","0.96142578125","0.96142578125","29","29","29","0.9619140625","0.9619140625","0.9619140625","29","29","29","0.96142578125","0.96142578125","0.96142578125","29","29","29","0.92822265625","0.92822265625","0.92822265625","29","29","29","0.92041015625","0.92041015625","0.92041015625","29","29","29","0.95751953125","0.95751953125","0.95751953125","29","29","29","0.927734375","0.927734375","0.927734375"
"43008000","31","31","31","0.921875","0.921875","0.921875","31","31","31","0.9189453125","0.9189453125","0.9189453125","31","31","31","0.9384765625","0.9384765625","0.9384765625","31","31","31","0.93310546875","0.93310546875","0.93310546875","31","31","31","0.9482421875","0.9482421875","0.9482421875","31","31","31","0.9521484375","0.9521484375","0.9521484375","31","31","31","0.908203125","0.908203125","0.908203125","31","31","31","0.88427734375","0.88427734375","0.88427734375","31","31","31","0.9638671875","0.9638671875","0.9638671875","31","31","31","0.91455078125","0.91455078125","0.91455078125"
"45056000","32","32","32","0.84765625","0.84765625","0.84765625","32","32","32","0.91650390625","0.91650390625","0.91650390625","32","32","32","0.90966796875","0.90966796875","0.90966796875","32","32","32","0.92626953125","0.92626953125","0.92626953125","32","32","32","0.91748046875","0.91748046875","0.91748046875","32","32","32","0.947265625","0.947265625","0.947265625","32","32","32","0.87060546875","0.87060546875","0.87060546875","32","32","32","0.837890625","0.837890625","0.837890625","32","32","32","0.9462890625","0.9462890625","0.9462890625","32","32","32","0.8759765625","0.8759765625","0.8759765625"
"49152000","35","35","35","0.70947265625","0.70947265625","0.70947265625","35","35","35","0.75146484375","0.75146484375","0.75146484375","35","35","35","0.83642578125","0.83642578125","0.83642578125","35","35","35","0.84228515625","0.84228515625","0.84228515625","35","35","35","0.88623046875","0.88623046875","0.88623046875","35","35","35","0.89501953125","0.89501953125","0.89501953125","35","35","35","0.767578125","0.767578125","0.767578125","35","35","35","0.76904296875","0.76904296875","0.76904296875","35","35","35","0.93896484375","0.93896484375","0.93896484375","35","35","35","0.73974609375","0.73974609375","0.73974609375"
"51200000","36","36","36","0.65673828125","0.65673828125","0.65673828125","36","36","36","0.61376953125","0.61376953125","0.61376953125","36","36","36","0.77099609375","0.77099609375","0.77099609375","36","36","36","0.7138671875","0.7138671875","0.7138671875","36","36","36","0.8330078125","0.8330078125","0.8330078125","36","36","36","0.8134765625","0.8134765625","0.8134765625","36","36","36","0.72021484375","0.72021484375","0.72021484375","36","36","36","0.63427734375","0.63427734375","0.63427734375","36","36","36","0.921875","0.921875","0.921875","36","36","36","0.599609375","0.599609375","0.599609375"
"53248000","38","38","38","0.55615234375","0.55615234375","0.55615234375","38","38","38","0.517578125","0.517578125","0.517578125","38","38","38","0.69970703125","0.69970703125","0.69970703125","38","38","38","0.70751953125","0.70751953125","0.70751953125","38","38","38","0.8017578125","0.8017578125","0.8017578125","38","38","38","0.8095703125","0.8095703125","0.8095703125","38","38","38","0.7197265625","0.7197265625","0.7197265625","38","38","38","0.61962890625","0.61962890625","0.61962890625","38","38","38","0.9091796875","0.9091796875","0.9091796875","38","38","38","0.49853515625","0.49853515625","0.49853515625"
"55296000","39","39","39","0.40283203125","0.40283203125","0.40283203125","39","39","39","0.44189453125","0.44189453125","0.44189453125","39","39","39","0.60595703125","0.60595703125","0.60595703125","39","39","39","0.59326171875","0.59326171875","0.59326171875","39","39","39","0.69921875","0.69921875","0.69921875","39","39","39","0.78857421875","0.78857421875","0.78857421875","39","39","39","0.58447265625","0.58447265625","0.58447265625","39","39","39","0.4736328125","0.4736328125","0.4736328125","39","39","39","0.87060546875","0.87060546875","0.87060546875","39","39","39","0.3935546875","0.3935546875","0.3935546875"
"57344000","40","40","40","0.36328125","0.36328125","0.36328125","40","40","40","0.43505859375","0.43505859375","0.43505859375","40","40","40","0.560546875","0.560546875","0.560546875","40","40","40","0.53076171875","0.53076171875","0.53076171875","40","40","40","0.6591796875","0.6591796875","0.6591796875","40","40","40","0.6953125","0.6953125","0.6953125","40","40","40","0.52685546875","0.52685546875","0.52685546875","40","40","40","0.38623046875","0.38623046875","0.38623046875","40","40","40","0.79736328125","0.79736328125","0.79736328125","40","40","40","0.400390625","0.400390625","0.400390625"
"59392000","42","42","42","0.28125","0.28125","0.28125","42","42","42","0.34521484375","0.34521484375","0.34521484375","42","42","42","0.501953125","0.501953125","0.501953125","42","42","42","0.412109375","0.412109375","0.412109375","42","42","42","0.5244140625","0.5244140625","0.5244140625","42","42","42","0.5703125","0.5703125","0.5703125","42","42","42","0.451171875","0.451171875","0.451171875","42","42","42","0.32763671875","0.32763671875","0.32763671875","42","42","42","0.75439453125","0.75439453125","0.75439453125","42","42","42","0.28466796875","0.28466796875","0.28466796875"
"61440000","43","43","43","0.27734375","0.27734375","0.27734375","43","43","43","0.28662109375","0.28662109375","0.28662109375","43","43","43","0.44091796875","0.44091796875","0.44091796875","43","43","43","0.34716796875","0.34716796875","0.34716796875","43","43","43","0.486328125","0.486328125","0.486328125","43","43","43","0.4853515625","0.4853515625","0.4853515625","43","43","43","0.3916015625","0.3916015625","0.3916015625","43","43","43","0.310546875","0.310546875","0.310546875","43","43","43","0.64697265625","0.64697265625","0.64697265625","43","43","43","0.26123046875","0.26123046875","0.26123046875"
"63488000","45","45","45","0.2431640625","0.2431640625","0.2431640625","45","45","45","0.27490234375","0.27490234375","0.27490234375","45","45","45","0.369140625","0.369140625","0.369140625","45","45","45","0.28857421875","0.28857421875","0.28857421875","45","45","45","0.390625","0.390625","0.390625","45","45","45","0.5078125","0.5078125","0.5078125","45","45","45","0.361328125","0.361328125","0.361328125","45","45","45","0.30859375","0.30859375","0.30859375","45","45","45","0.560546875","0.560546875","0.560546875","45","45","45","0.2158203125","0.2158203125","0.2158203125"
"65536000","46","46","46","0.1962890625","0.1962890625","0.1962890625","46","46","46","0.21875","0.21875","0.21875","46","46","46","0.35107421875","0.35107421875","0.35107421875","46","46","46","0.26953125","0.26953125","0.26953125","46","46","46","0.369140625","0.369140625","0.369140625","46","46","46","0.365234375","0.365234375","0.365234375","46","46","46","0.3095703125","0.3095703125","0.3095703125","46","46","46","0.2314453125","0.2314453125","0.2314453125","46","46","46","0.46875","0.46875","0.46875","46","46","46","0.1962890625","0.1962890625","0.1962890625"
"67584000","47","47","47","0.18798828125","0.18798828125","0.18798828125","47","47","47","0.17578125","0.17578125","0.17578125","47","47","47","0.32177734375","0.32177734375","0.32177734375","47","47","47","0.251953125","0.251953125","0.251953125","47","47","47","0.25732421875","0.25732421875","0.25732421875","47","47","47","0.3408203125","0.3408203125","0.3408203125","47","47","47","0.27099609375","0.27099609375","0.27099609375","47","47","47","0.2109375","0.2109375","0.2109375","47","47","47","0.37451171875","0.37451171875","0.37451171875","47","47","47","0.16943359375","0.16943359375","0.16943359375"
"69632000","49","49","49","0.16552734375","0.16552734375","0.16552734375","49","49","49","0.1435546875","0.1435546875","0.1435546875","49","49","49","0.27197265625","0.27197265625","0.27197265625","49","49","49","0.25927734375","0.25927734375","0.25927734375","49","49","49","0.2880859375","0.2880859375","0.2880859375","49","49","49","0.3173828125","0.3173828125","0.3173828125","49","49","49","0.22021484375","0.22021484375","0.22021484375","49","49","49","0.16259765625","0.16259765625","0.16259765625","49","49","49","0.3291015625","0.3291015625","0.3291015625","49","49","49","0.15283203125","0.15283203125","0.15283203125"
"71680000","50","50","50","0.16943359375","0.16943359375","0.16943359375","50","50","50","0.17578125","0.17578125","0.17578125","50","50","50","0.25048828125","0.25048828125","0.25048828125","50","50","50","0.20458984375","0.20458984375","0.20458984375","50","50","50","0.19873046875","0.19873046875","0.19873046875","50","50","50","0.2900390625","0.2900390625","0.2900390625","50","50","50","0.22119140625","0.22119140625","0.22119140625","50","50","50","0.16650390625","0.16650390625","0.16650390625","50","50","50","0.255859375","0.255859375","0.255859375","50","50","50","0.15625","0.15625","0.15625"
